start,end,net,acc,portfolio
2017-12-01,2018-01-01,0.013305984450204493,1.0133059844502046,101330.59844502046
2018-01-01,2018-02-01,0.026150853658263837,1.0398048009606047,103980.48009606048
2018-02-01,2018-03-01,-0.015231299644976586,1.0239672224648884,102396.72224648885
2018-03-01,2018-04-01,-0.0097537072243358,1.0139797459696496,101397.97459696497
2018-04-01,2018-05-01,0.021691974964357263,1.0359749692335887,103597.49692335888
2018-05-01,2018-06-01,9.40439800115156e-05,1.0360723964428877,103607.23964428877
2018-06-01,2018-07-01,0.0006950340816709082,1.036792502069494,103679.2502069494
2018-07-01,2018-08-01,0.020795385686647846,1.0583530020270537,105835.30020270537
2018-08-01,2018-09-01,-0.0042145100576095485,1.0538925626555096,105389.25626555095
2018-09-01,2018-10-01,0.00041644193276691105,1.0543314477112307,105433.14477112306
2018-10-01,2018-11-01,-0.004012685766347992,1.0501007469179868,105010.07469179867
2018-11-01,2018-12-01,-0.011833752866628935,1.037674114193897,103767.41141938968
2018-12-01,2019-01-01,0.00450239462478928,1.0423461325479266,104234.61325479264
2019-01-01,2019-02-01,0.0016448322765043124,1.0440606171100308,104406.06171100307
2019-02-01,2019-03-01,-0.003895099870192776,1.0399938967358522,103999.3896735852
2019-03-01,2019-04-01,0.013468516033675187,1.0540010712089634,105400.10712089631
2019-04-01,2019-05-01,0.007179193180543991,1.061567948511673,106156.79485116726
2019-05-01,2019-06-01,0.0015085513347654585,1.0631693782573444,106316.9378257344
2019-06-01,2019-07-01,0.011954990386415322,1.075879557953542,107587.95579535418
2019-07-01,2019-08-01,-0.0009849326944882724,1.074819889001582,107481.98890015818
2019-08-01,2019-09-01,0.005694115340478881,1.0809400374197977,108094.00374197974
2019-09-01,2019-10-01,0.005286520236505401,1.0866544488020664,108665.4448802066
2019-10-01,2019-11-01,0.003984275530792417,1.090983979532855,109098.39795328549
2019-11-01,2019-12-01,-0.0033875855112466095,1.0872881780107875,108728.81780107872
2019-12-01,2020-01-01,0.009792654154228048,1.097935615104028,109793.56151040277
2020-01-01,2020-02-01,0.0018561185185194875,1.0999735137313646,109997.35137313644
2020-02-01,2020-03-01,-0.0061938853117042445,1.0931604039414002,109316.04039413999
2020-03-01,2020-04-01,-0.07343130382280817,1.0128882101925156,101288.82101925153
2020-04-01,2020-05-01,0.043769539170290035,1.057221860383662,105722.18603836616
2020-05-01,2020-06-01,6.21723287101743e-05,1.0572875903286854,105728.75903286849
2020-06-01,2020-07-01,0.012672802949457563,1.0706863876218276,107068.63876218272
2020-07-01,2020-08-01,0.00543222806136326,1.0765026002615865,107650.2600261586
2020-08-01,2020-09-01,0.0003780092782473931,1.076909528232543,107690.95282325425
2020-09-01,2020-10-01,0.014740024512916314,1.0927832010768839,109278.32010768834
2020-10-01,2020-11-01,0.00025982480653991984,1.0930671332606938,109306.71332606934
2020-11-01,2020-12-01,0.011114483450582684,1.1052160098236958,110521.60098236952
